ID,SOURCE_KEY,NAME,IMAGE_URL,URL,LANG,SOURCE_TYPE,LAUNCH_DATE,SORT_ORDER,BENCHMARK_SCORE,STATUS,LAST_UPDATED_TS,CREATED_ON,UPDATED_ON
5,coindesk,CoinDesk,https://resources.cryptocompare.com/news/5/default.png,https://www.coindesk.com/arc/outboundfeeds/rss/?outputType=xml,EN,RSS,1367884800,0,71,ACTIVE,1759310764,1657730129,1744296800
16,cointelegraph,CoinTelegraph,https://images.cryptocompare.com/news/default/cointelegraph.png,https://cointelegraph.com/rss,EN,RSS,1382227200,0,66,ACTIVE,1759310765,1657730129,1711620813
55,blockworks,Blockworks,https://images.cryptocompare.com/news/default/blockworks.png,https://blockworks.co/feed/,EN,RSS,1610236800,0,59,ACTIVE,1759310765,1657730129,1737815987
27,cryptopotato,Crypto Potato,https://images.cryptocompare.com/news/default/cryptopotato.png,https://cryptopotato.com/category/crypto-news/feed/,EN,RSS,1458086400,0,57,ACTIVE,1759310765,1657730129,1711621041
44,decrypt,Decrypt,https://images.cryptocompare.com/news/default/decrypt.png,https://decrypt.co/feed,EN,RSS,1521331200,0,57,ACTIVE,1759310778,1657730129,1711620560
14,bitcoin.com,Bitcoin.com,https://images.cryptocompare.com/news/default/bitcoincom.png,https://news.bitcoin.com/feed/,EN,RSS,1438387200,0,51,ACTIVE,1759310766,1657730129,1711621233
21,newsbtc,NewsBTC,https://images.cryptocompare.com/news/default/newsbtc.png,https://www.newsbtc.com/feed/,EN,RSS,1380585600,0,50,ACTIVE,1759310766,1657730129,1711620962
64,utoday,U.Today,https://images.cryptocompare.com/news/default/utoday.png,https://u.today/cryptocompare.php,EN,RSS,1506816000,0,49,ACTIVE,1759310768,1657730129,1745920032
13,bitcoinist,Bitcoinist,https://images.cryptocompare.com/news/default/bitcoinist.png,https://bitcoinist.com/feed/,EN,RSS,1387843200,0,48,ACTIVE,1759310768,1657730129,1711620995
99,bitfinexblog,Bitfinex blog,https://resources.cryptocompare.com/news/99/default.png,https://blog.bitfinex.com/feed/,EN,RSS,1445817600,0,0,ACTIVE,1759310820,1718289520,1718289531
43,cryptopolitan,Cryptopolitan,https://images.cryptocompare.com/news/default/cryptopolitan.png,https://www.cryptopolitan.com/feed/,EN,RSS,,0,0,ACTIVE,1759310801,1657730129,1681205909
65,thecryptobasic,The Crypto Basic,https://images.cryptocompare.com/news/default/thecryptobasic.png,https://thecryptobasic.com/category/latest-crypto-news/feed/,EN,RSS,,0,0,ACTIVE,1759310802,1657730129,1673258252
69,invezz,Invezz,https://resources.cryptocompare.com/news/69/default.png,https://invezz.com/news/cryptocurrency/feed/,EN,RSS,,0,0,ACTIVE,1759310797,1679069939,1679076581
106,investing_comcryptonews,Investing.com Crypto News,https://resources.cryptocompare.com/news/106/default.png,https://www.investing.com/rss/news_301.rss,EN,RSS,1505088000,0,0,ACTIVE,1759310792,1754907212,1754907484
67,timestabloid,TimesTabloid,https://resources.cryptocompare.com/news/67/default.png,https://timestabloid.com/feed/,EN,RSS,,0,0,ACTIVE,1759310796,1664381507,1673235440
103,bloomberg_crypto_,Bloomberg (Crypto),https://resources.cryptocompare.com/news/103/default.png,https://feeds.bloomberg.com/crypto/news.rss?ageHours=10000000,EN,RSS,1365724800,0,0,ACTIVE,1759310811,1721308309,1721308597
