Type,ID,SOURCE_KEY,NAME,URL,SOURCE_TYPE,ENDPOINT,STATUS
SOURCE,5,coindesk,CoinDesk,https://www.coindesk.com/arc/outboundfeeds/rss/?outputType=xml,RSS,NULL,ACTIVE
SOURCE,16,cointelegraph,CoinTelegraph,https://cointelegraph.com/rss,RSS,NULL,ACTIVE
SOURCE,55,blockworks,Blockworks,https://blockworks.co/feed/,RSS,NULL,ACTIVE
SOURCE,27,cryptopotato,Crypto Potato,https://cryptopotato.com/category/crypto-news/feed/,RSS,NULL,ACTIVE
SOURCE,44,decrypt,Decrypt,https://decrypt.co/feed,RSS,NULL,ACTIVE
SOURCE,14,bitcoin.com,Bitcoin.com,https://news.bitcoin.com/feed/,RSS,NULL,ACTIVE
SOURCE,21,newsbtc,NewsBTC,https://www.newsbtc.com/feed/,RSS,NULL,ACTIVE
SOURCE,64,utoday,U.Today,https://u.today/cryptocompare.php,RSS,NULL,ACTIVE
SOURCE,13,bitcoinist,Bitcoinist,https://bitcoinist.com/feed/,RSS,NULL,ACTIVE
SOURCE,65,thecryptobasic,The Crypto Basic,https://thecryptobasic.com/category/latest-crypto-news/feed/,RSS,NULL,ACTIVE
SOURCE,43,cryptopolitan,Cryptopolitan,https://www.cryptopolitan.com/feed/,RSS,NULL,ACTIVE
SOURCE,99,bitfinexblog,Bitfinex blog,https://blog.bitfinex.com/feed/,RSS,NULL,ACTIVE
SOURCE,69,invezz,Invezz,https://invezz.com/news/cryptocurrency/feed/,RSS,NULL,ACTIVE
SOURCE,67,timestabloid,TimesTabloid,https://timestabloid.com/feed/,RSS,NULL,ACTIVE
SOURCE,106,investing_comcryptonews,Investing.com Crypto News,https://www.investing.com/rss/news_301.rss,RSS,NULL,ACTIVE
SOURCE,103,bloomberg_crypto_,Bloomberg (Crypto),https://feeds.bloomberg.com/crypto/news.rss?ageHours=10000000,RSS,NULL,ACTIVE
SOURCE,49,cryptocoinnews,CryptoCoin.News,https://cryptocoin.news/feed/,RSS,NULL,ACTIVE
SOURCE,100,huobi,Huobi blog,https://blog.huobi.com/feed/,RSS,NULL,ACTIVE
